date,text_compound,title_compound,BTC_headline,BTC_desc
2020-02-05,-0.2732,-0.2732,"After Tesla Goes Parabolic, The Risk Of Reversal Is High","After Tesla Goes Parabolic, The Risk Of Reversal Is High Don’t Chase Prices Or You Might Get Burned Tesla (TSLA) is riding a wave of bullish sentiment that has sent the stock to new all-time highs. A wave of upgrades over the past two weeks s..."
2020-03-17,-0.8548,-0.5106,Why is Bitcoin Failing as a Stock Market Hedge?,"Why is Bitcoin Failing as a Stock Market Hedge? The storied history of Bitcoin (BTC) reveals how the very first block aptly referred to as the Genesis Block, was mined by its anonymous creator Satoshi Nakamoto on January 3, 2009. On that Genesis Blo..."
2020-08-17,-0.1531,0.0,Three Things You Need To Know About Ethereum (ETH/USD),"Three Things You Need To Know About Ethereum (ETH/USD) Cryptocurrency, You Have To Be In It To Win It At the risk of damaging my own credibility, I am going to go out on a limb and say that I Iike Cryptocurrency. The technology is very interesting,..."
2021-01-06,0.7906,0.34,Marathon Patent Group (NASDAQ: MARA) Stock is Another Way to Play Bitcoin (BTC),Marathon Patent Group (NASDAQ: MARA) Stock is Another Way to Play Bitcoin (BTC) MARA Cryptocurrency mining company Marathon Patent Group (NASDAQ: MARA) stock has exploded in the past few months thanks to the surge in Bitcoin (BTC) values. While there...
2021-01-11,-0.8788,-0.296,Riot Blockchain (NASDAQ: RIOT) Stock the Other Bitcoin Play,"Riot Blockchain (NASDAQ: RIOT) Stock the Other Bitcoin Play RIOT Cryptocurrency mining company Riot Blockchain, Inc. (NASDAQ: RIOT) stock has rallied with the meteoric rise of Bitcoin (BTC). The Company’s primary business is to mine Bitcoins, j..."
2021-01-12,0.0,0.0,Here’s Why Bitcoin (BTC) Can Take Square (NYSE: SQ) to New Heights in 2021,"Here’s Why Bitcoin (BTC) Can Take Square (NYSE: SQ) to New Heights in 2021 SQ In 2018, Square (NYSE: SQ) started allowing people buy Bitcoin (BTC) through the Cash App. But it wasn’t until 2020 where investors realized just how big of an impact..."
2021-01-16,0.5267,0.0,MarketBeat Week in Review 1/11 - 1/15,MarketBeat Week in Review 1/11 - 1/15 It was a quieter week in relative terms. Bitcoin was one of the biggest stories as cryptocurrency is drawing renewed interest from speculative investors. President-elect Biden announced plans for more stimulus...
2021-01-18,0.765,0.5106,Grayscale Bitcoin Trust (OTCMKTS: GBTC) Stock is the Bitcoin Derivative of Choice,Grayscale Bitcoin Trust (OTCMKTS: GBTC) Stock is the Bitcoin Derivative of Choice GBTC Bitcoin tracking stock Grayscale Bitcoin Trust (OTCMKTS: GBTC) is an unofficial exchange-traded-fund (ETF) that invests in bitcoin through derivatives to track th...
2021-01-20,-0.6908,-0.2732,These Dapps Are Taking Some Of The Risk Out Of Defi,"These Dapps Are Taking Some Of The Risk Out Of Defi Defi Is The Biggest Trend In Cryptocurrency You may think that rocketing prices is the biggest trend in cryptocurrency this year but you’d be wrong, it’s defi. Rocketing prices are cer..."
2021-01-20,0.8442,0.128,Advanced Micro Devices (NASDAQ: AMD) Stock Hasn’t Priced In Bitcoin (BTC) Fueled GPU Demand,Advanced Micro Devices (NASDAQ: AMD) Stock Hasn’t Priced In Bitcoin (BTC) Fueled GPU Demand AMD Semiconductor company Advanced Micro Devices (NASDAQ: AMD) stock has been both a pandemic  winner and a recovery play as it reached all-time highs i...
