date,title,ratio,score,weight,text_sentiment,pos_sentiment,neg_sentiment
2022-03-15 03:17:37,Bitcoin Avoids De Facto Ban in Europe!!!!,0.94,2294,2156.3599999999997,-0.7556,0.0,0.564
2022-03-14 20:28:14,Been buying bitcoin every month for almost 4.5 years,0.91,4097,3728.27,0.0,0.0,0.0
2022-03-15 07:49:13,"US government have cracked ""anonymous"" Bitcoin wallet Wasabi",0.94,192,180.48,0.0,0.0,0.0
2022-03-15 02:35:07,EU Parliament votes against ban on proof-of-work mechanism underlying cryptos like Bitcoin,0.95,415,394.25,-0.2732,0.155,0.224
2022-03-15 04:08:53,Bitcoin: EU votes against crypto ban,0.89,94,83.66,-0.5574,0.0,0.419
2022-03-14 18:25:08,"Coinbase Said To Be Testing Zero-Fees Trading Of Bitcoin, Ethereum, Dogecoin - Benzinga",0.93,333,309.69,0.0,0.0,0.0
2022-03-14 14:05:02,"Why this sub hasn't pinned any post about the disastrous bill to be voted today Monday? If Bitcoin goes down, all crypto goes down. Here are all the emails to take action. Right now the MP's are about 50/50 for/against the ban. We can tip the scales!",0.79,569,449.51000000000005,-0.8313,0.0,0.148
2022-03-14 02:44:55,"Two years ago BTC fell to 3.8k and was called ""death"". Today we are about 10x higher and still being called ""death"".",0.89,5146,4579.9400000000005,0.0,0.0,0.0
2022-03-15 11:39:30,The legendary financier Bill Gross holds bitcoin after having loudly criticized popular crypto.,0.78,10,7.800000000000001,-0.4215,0.152,0.304
2022-03-14 11:48:33,"Raoul Pal Declares Crypto Is Growing Far Faster Than The Internet, Says Bitcoin Could Reach $600,000",0.83,568,471.44,0.2023,0.167,0.0
2022-03-15 03:05:41,Valkyrie Investments CEO Leah Wald opens up on the importance of Bitcoin ETFs and why the traditional financial world should pay attention to digital assets moving forward.,0.86,35,30.099999999999998,0.4215,0.142,0.047
2022-03-14 17:42:08,Michelin Chef in Malta Now Accepts Bitcoin and Lightning Payments in his Restaurants,0.86,85,73.1,0.3182,0.161,0.0
2022-03-14 21:22:44,Banning Bitcoin Will be a Trillion-Dollar Mistake: Michael Saylor on EU's MiCA.,0.73,30,21.9,-0.34,0.0,0.194
