date,VWAP.,pivot,4 period SMA,y_test,predictions,daily returns,model returns
2021-12-21,47234.07062887655,46670.193333333336,47329.9375,-1.0,-1.0,0.042113511144609594,
2021-12-22,47425.255646971054,48282.94666666666,47768.3575,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,47772.94619555297,48862.05333333334,48807.7525,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,48117.93531124455,50044.743333333325,49784.212499999994,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,48266.20209306309,51004.81,50161.6575,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,48414.407737237976,50566.07000000001,50708.490000000005,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,48623.249473154625,50489.16333333333,50674.14750000001,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,48611.82040990336,51079.48,49855.082500000004,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,48462.470865058654,48520.26666666666,48871.3325,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,48368.91332498641,46900.24333333334,47957.6775,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,48264.05549981666,46973.62333333333,46836.55,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,48228.72258374826,46814.39666666667,46881.277500000004,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,48198.413754347595,47295.21666666667,47086.6575,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,48121.25675049539,47310.06,46917.965000000004,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,48016.6413188132,46570.700000000004,46821.735,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,47732.858823972696,46296.51666666667,45753.854999999996,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,47479.58537144273,44340.37666666667,44702.8875,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,47070.368639461645,43109.63,43482.9825,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,46839.93775900919,41774.10333333333,42444.915,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,46704.47522923992,41493.579999999994,42048.2875,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,46386.21591754223,41950.44666666666,41733.3325,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,46221.133931730474,41240.329999999994,42024.035,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,46125.20104526704,42366.073333333334,42579.765,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,46017.96424345864,43558.22,42753.6375,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,45912.16031459422,43123.776666666665,43063.005000000005,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,45853.35458653786,42744.89666666667,43151.755000000005,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,45798.3282859015,43146.43,42944.005000000005,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,45709.192261191325,43042.81666666667,42854.3825,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,45613.712942929604,42306.073333333334,42677.4225,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,45507.40131522789,42097.706666666665,42321.3525,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,45366.883941862085,41785.9,41723.665,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,44828.64438614344,41579.74,40284.5875,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,44196.26899509078,37661.92,38464.4125,1.0,-1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,43931.41279989453,35304.88,37110.5475,1.0,-1.0,0.033449743409305954,-0.033449743409305954
2022-01-24,43427.203909691656,35781.520000000004,36105.4075,1.0,-1.0,0.011472069593911227,-0.011472069593911227
2022-01-25,43214.352229581615,35709.17333333333,36233.659999999996,-1.0,-1.0,0.008127854753159802,-0.008127854753159802
2022-01-26,42959.98295885176,36734.82,36668.14,1.0,-1.0,-0.004031027384361674,0.004031027384361674
2022-01-27,42759.23007076223,37321.316666666666,36897.0275,1.0,-1.0,0.009529103211304513,-0.009529103211304513
2022-01-28,42624.64958068005,36633.86000000001,37161.08,1.0,-1.0,0.01497466368497391,-0.01497466368497391
2022-01-29,42555.94598303117,37290.52333333334,37463.20999999999,-1.0,-1.0,0.011938522495158699,-0.011938522495158699
2022-01-30,42498.83355317304,38052.00666666666,37731.314999999995,1.0,-1.0,-0.0074693110564038045,0.0074693110564038045
2022-01-31,42405.51456257562,37864.21666666667,38058.015,1.0,-1.0,0.015446484007078931,-0.015446484007078931
2022-02-01,42334.697731988395,37947.83666666667,38302.5225,-1.0,-1.0,0.005919114875386322,-0.005919114875386322
2022-02-02,42241.01476169976,38653.26333333333,37984.9025,1.0,-1.0,-0.046472388000493026,0.046472388000493026
2022-02-03,42152.22334290445,37446.409999999996,37842.365,1.0,-1.0,0.011254497733651725,-0.011254497733651725
2022-02-04,42085.43552351685,36982.87,38619.2025,-1.0,-1.0,0.11424433306415893,-0.11424433306415893
2022-02-05,42073.939980318624,40124.43666666667,39291.2025,1.0,-1.0,-0.004610065124446061,0.004610065124446061
2022-02-06,42073.687059240416,41379.763333333336,40662.33,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,42104.63868770095,42051.14333333333,42294.425,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,42164.26153040771,43328.78,42911.61,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,42194.92071741005,44066.996666666666,43659.1425,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,42249.913669429814,44096.54666666667,43937.785,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
